id_entreprise;libellé_entreprise
779;Afghan National Security
780;Afghan National Security Directorate
781;Afghan National Security Force (ANSF)
782;Afghan National Solidarity Program (NSP)
783;Afghan Office of the Attorney General
784;Afghan Oil Utility System
785;Afghan Paktika Government
786;Afghan Parliament
787;Afghan Parliamentary Candidate
788;Afghan Parliamentary election
789;Afghan Passport Department
790;Afghan Police
791;Afghan Police and Military
792;Afghan Police Checkpoint
793;Afghan Police Forces
794;Afghan Police Headquarters
795;Afghan policemen
796;Afghan political official
797;Afghan Presidential Council on Tribal Affairs
798;Afghan Provincial Council
799;Afghan Public Protection Force (APPF)
800;Afghan Public Protection Program
801;Afghan Public Telecommunication System
802;Afghan Rangers
803;Afghan Red Crescent
804;Afghan Red Crescent Society
805;Afghan Red Crescent Society (ARCS)
806;Afghan refugee populated border town
807;Afghan Refugees Commissionerate
808;Afghan Religious Figures
809;Afghan Resistance Movement
810;Afghan road workers
811;Afghan School System
812;Afghan Security
813;Afghan Security Command
814;Afghan security intelligence official
815;Afghan Senate
816;Afghan shopkeepers
817;Afghan soldiers
818;Afghan Special Police Force
819;Afghan State Government
820;Afghan Supreme Court
821;Afghan Technical Consultants
822;Afghan Technical Consultants (ATC)
823;Afghan Technical Consultatns
824;Afghan Telecommunications
825;Afghan Traffic Police
826;Afghan Transportation
827;Afghan Transportation Infrastructure
828;Afghan tribal councilors
829;Afghan Trucking System
830;Afghan UN representative
831;Afghan university
832;Afghan University system
833;Afghan Warlord
834;Afghan Wireless Communication Company
835;Afghan Wireless Communication Company (AWCC)
836;"Afghan Wireless Communication Company (AWCC); Mobile Telecommunication Network (MTN)"
837;Afghan worker
838;Afghan workers
839;Afghanaid
840;Afghani citizen
841;Afghani civilian truck driver and truck
842;Afghani Civilians
843;Afghani coal miners
844;Afghani Defense Minister
845;Afghani Education
846;Afghani government
847;Afghani government.
848;Afghani Law Enforcement
849;Afghani local government
850;Afghani police
851;Afghani police checkpoint
852;Afghani policemen
853;Afghani President
854;Afghani religious scholar
855;Afghani School
856;Afghani Security Commander
857;Afghani security company
858;Afghani security forces
859;Afghani security guards
860;Afghani Students
861;Afghanistan Border Patrol
862;Afghanistan Breshna Company
863;Afghanistan Center for Training and Development
864;Afghanistan Central Passport Department
865;Afghanistan civilians
866;Afghanistan Department of Education
867;Afghanistan Drug Eradication Unit
868;Afghanistan Education system
869;Afghanistan educational system
870;Afghanistan Election Officials
871;Afghanistan Energy Infrastructure
872;Afghanistan Government
873;Afghanistan Government Official
874;Afghanistan government.
875;Afghanistan Independent Election Commission
876;Afghanistan International Airport
877;Afghanistan Joint Electoral Management Body (JEMB)
878;Afghanistan Law Enforcement
879;Afghanistan Liberal Party Headquarters
880;Afghanistan member of parliament
881;Afghanistan Military
882;Afghanistan Ministry of Education
883;Afghanistan Ministry of Health
884;Afghanistan Ministry of Interior
885;Afghanistan National Disaster Management Authority (ANDMA)
886;Afghanistan National Independent Peace and Reconciliation Commission
